Period,Demand,Price Local Produced,Price China produced,Price US Produced,Price Canada Produced,Price of Beef kilo,Price of Chicken meat kilo,Price of steel kilo,Inflation,minimum wage,Direct Competitors,Price Coal Kilo,Price Beer Liter
1,2900,210,225,300,320,42.31,2.572,211.0963582,8.106,164.36909,3,2.572,3.2
2,3200,180,195,280,295,38.51,2.548,211.2421698,8.106,164.195744,1,2.572,2.95
3,2750,215,220,305,330,39.93,2.514,211.2891429,8.106,161.196817,4,2.572,3.3
4,2800,190,200,285,300,46.63,2.561,211.3196429,8.106,140.972759,1,2.572,3
5,3000,220,225,300,320,46.5,2.625,211.3501429,8.106,155.480668,4,2.572,3.2
6,2700,195,205,290,305,57.79,2.667,211.3806429,8.106,143.954159,3,2.667,3.05
7,3150,185,200,285,300,54.58,2.72,211.215635,8.106,147.251579,4,2.667,3
8,2850,200,215,295,315,51.45,2.732,211.0180424,8.106,140.442992,1,2.667,3.15
9,2950,210,225,300,320,62.27,2.719,210.8204499,7.808,159.496828,4,2.667,3.2
10,3100,175,195,280,295,65.86,2.77,210.6228574,7.808,154.541853,3,2.667,2.95
11,2750,220,220,305,330,66.32,2.808,210.4887,7.808,146.605828,5,2.667,3.3
12,3050,205,210,290,310,64.84,2.795,210.4391228,7.808,139.125612,4,2.667,3.1
13,3200,180,195,285,300,67.41,2.78,210.3895456,7.808,142.510071,5,2.667,3
14,2700,215,225,300,320,72.55,2.835,210.3399684,7.808,160.395512,1,2.835,3.2
15,3000,190,200,295,315,74.78,2.854,210.3374261,7.808,149.42515,3,2.854,3.15
16,2800,200,215,285,300,76.44,2.826,210.6170934,7.808,139.966207,2,2.854,3
17,3150,195,205,290,305,80.44,2.759,210.8967606,7.808,143.206995,4,2.854,3.05
18,2850,185,200,300,320,80.69,2.705,211.1764278,7.808,161.552471,2,2.854,3.2
19,3100,205,210,280,295,80.43,2.668,211.4560951,7.808,154.256109,2,2.668,2.95
20,3000,220,225,305,330,84.11,2.637,211.4537719,7.808,150.328406,2,2.668,3.3
21,2750,200,215,295,315,84.34,2.653,211.3386526,7.808,142.27116,1,2.668,3.15
22,3200,215,220,290,310,80.91,2.669,211.2235333,7.787,149.241814,2,2.668,3.1
23,2700,195,205,285,300,80.48,2.642,211.108414,7.787,154.607418,5,2.668,3
24,2900,185,200,300,320,83.15,2.623,211.1003854,7.787,144.893892,3,2.668,3.2
25,3150,210,225,280,295,83.36,2.608,211.2351443,7.787,138.50652,1,2.608,2.95
26,2850,180,195,295,315,81.84,2.64,211.3699032,7.787,137.19866,3,2.64,3.15
27,3000,200,215,285,300,87.16,2.627,211.5046621,7.787,160.549178,5,2.627,3
28,3100,190,200,300,320,87,2.692,211.6394211,7.787,150.823776,5,2.627,3.2
29,2750,220,225,290,305,86.65,2.664,211.6033633,7.787,151.308049,3,2.627,3.05
30,2800,205,210,305,330,85.22,2.619,211.5673056,7.787,144.914292,3,2.627,3.3
31,3050,180,195,280,295,81.21,2.577,211.5312479,7.787,154.016353,3,2.627,2.95
32,3200,215,220,295,315,78.69,2.565,211.4951902,7.787,150.746069,4,2.627,3.15
33,2700,190,200,285,300,82.11,2.582,211.5224596,7.787,143.037867,2,2.627,3
34,3150,195,205,300,320,80.94,2.624,211.5972246,7.787,135.179103,4,2.627,3.2
35,2850,210,225,290,305,71.89,2.603,211.6719895,7.838,145.33295,2,2.627,3.05
36,2950,200,215,285,300,63.93,2.633,211.7467544,7.838,150.823993,1,2.633,3
37,3000,185,200,305,330,67.18,2.72,211.8137436,7.838,145.94091,3,2.72,3.3
38,2750,215,220,280,295,69.86,2.725,211.8612937,7.838,134.5454,5,2.72,2.95
39,3100,175,195,300,320,69.64,2.716,211.9088438,7.838,138.420922,1,2.72,3.2
40,3200,210,225,295,315,58.74,2.689,211.9563939,7.838,155.165928,1,2.72,3.15
41,2700,190,200,285,300,59.61,2.728,212.003944,7.838,149.447949,1,2.72,3
42,3150,200,215,300,320,51.41,2.771,211.8896737,7.838,148.378418,5,2.72,3.2
43,2850,195,205,290,305,64.52,2.735,211.7484333,7.838,195.562411,2,2.72,3.05
44,3000,220,225,305,330,49.27,2.708,211.607193,7.838,154.803378,4,2.72,3.3
45,3100,180,195,280,295,46.33,2.843,211.4659526,7.838,168.261426,4,2.72,2.95
46,2750,185,200,295,315,49.84,2.869,211.4053124,7.838,189.103493,3,2.72,3.15
47,2900,200,215,300,320,52.33,2.886,211.4051222,7.838,238.79502,3,2.886,3.2
48,3200,205,210,285,300,48.43,2.943,211.4049321,7.838,136.732001,3,2.943,3
49,2700,195,205,305,330,48.27,2.976,211.4047419,7.742,144.473228,3,2.943,3.3
50,3150,220,225,290,310,35.4,2.983,211.4574109,7.742,139.101396,5,2.943,3.1
51,3050,175,195,285,300,44.04,3.016,211.8272343,7.742,132.740542,1,2.943,3
52,2850,190,200,300,320,43.83,3.01,212.1970577,7.742,131.689931,3,2.943,3.2
53,3000,210,225,280,295,42.27,2.989,212.5668812,7.742,160.662958,2,2.943,2.95
54,2750,205,210,295,315,36.39,3.022,212.9367046,7.742,164.961493,2,2.943,3.15
55,3100,185,200,285,300,57.36,3.045,213.2478853,7.742,168.684278,4,2.943,3
56,2950,200,215,305,330,62.9,3.065,213.535609,7.742,145.680028,2,2.943,3.3
57,3150,220,220,290,305,59.58,3.288,213.8233327,7.742,163.626341,3,2.943,3.05
58,2750,180,205,300,320,53.56,3.459,214.1110564,7.742,155.319163,1,2.943,3.2
59,2800,195,225,280,295,62.76,3.488,214.3627114,7.742,157.681806,1,3.488,2.95
60,3000,200,195,295,315,69.97,3.473,214.5999389,7.742,154.110238,1,3.473,3.15
